,RESPONSE,LABEL
56,mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,1
57,mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,1
58,warga travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu mandi pun harus rela mengantri dengan pengungsi iklim lainnya,1
59,mereka harus memulai lingkungan yang baru beradaptasi dengan lingkungan mereka yang baru dan membangun rumah atau pertanian di tempat baru tersebut,1
60,mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru,1
61,"mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan",1
62,"mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain",1
63,masalah tempat tingal dan barang berharga,1
64,ketiak keamanan berpindah,1
65,"mereka merasakan sesuatu yang tidak enak karena meninggalkan negara ,keluarga,dan lain-lain",1
66,mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya,1
67,berwaspada,0
68,membuat kembali lahan pertanian lahan pekerjaan yang sudah ditinggalkan di negara tersebut,1
69,mengungsi ke daerah latnya karena komunitas atau negara latnya terpaksa meninggalkan adanya bencana lingkungan,0
70,"pengungsi iklim akan kehilangan harta benda meraka,lahan merasa dikarenakan jika mereka telah menetap disapa dan sukses disapa maka mereka akan bersusah payah merintis lagi dari nol",1
71,menahan rasa suhu tubuh yang ada di iklim negara tersebut,1
72,bersosialisasi dengan orangorang baru dan beradaptasi dengan lingkungan sekitarnya yang baru,1
73,akan sulit untuk menyesuaikan diri dengan lingkungan,1
74,tidak cocok dengan iklim yang akan ditempatinya,1
75,terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,1
76,pengungsi iklim adalah orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
77,mereka akan rugi karena mereka akan meninggalkan lahan pertanian mereka yang sudah tumbuh subur,0
78,harus lebih waspada lagi tentang keadaan sekitar nya,0
79,meninggalkan tempat baru yang telah di tempat i selama ini dan akan kehilangan semuanya.dan akan mengulang hidup baru dari lingkungan baru .,1
80,kehilangan matapencarian atau mungkin keluarga,1
81,"mereka akan bergaul dengan iklim yang baru,biasanya susah atau lama untuk beradaptasi dengan iklim baru",1
82,satu tantangan yang akan dihadapi oleh para pengungsi iklim ketika pindah setempat yang baru yaitu beradaptasi dengan lingkungannya yang baru,1
83,mereka akan kekurangan lahan,1
84,tantangan yang akan dihadapi para pengungsi iklim ini adalah mereka harus bisa beradaptasi dengan lingkungan barunya yang mungkin jauh berbeda dari tempat tinggal mereka sebelumnya dan harus memulai dari awal untuk mencari lahan pekerjaan mereka,1
85,tantangan nya yaitu apabila mereka lidah ke tempat yang baru maka mereka akan tidak terbiasa dengan daerah yang mereka tempati,1
86,yang pertama pasti cuacanya yang perlu beradaptasi dengan lingkungannya,1
87,mereka mungkin kurang mendapatkan pekerjaan dan tempat tinggal yang layak bagi mereka,1
88,tidak bisa menyesuaikan diri dengan tempat baru,1
89,belajar,0
90,mengenal orang orang baruasing yg akan beradaptasi dari awal,1
91,karena travina adalah orang orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan dan dia menyedang dapat tempat tinggal baru,0
92,mereka akan kehilangan film dokumenter populer,0
93,tidak terbiasa dengan itu,0
94,tantangannya yang akan dihadapi adalah adanya rasa ketiak keamanan yang mereka rasakan karena faktor lingkungan yang berbeda dari keadaan yang pernah mereka rasakan sebelumnya,1
95,mereka akan kekurangan bahan panjangpakaian dan obatobatan mereka harus saling berbagi tempat dan rela sempit-sempitan.mereka akan serba kekurangan,1
96,mereka akan kehilangan kehilangan tempat tinggalnya,1
97,tentunya kondisi keuangan warga-warga travina akan menurun mereka tidak bisa bertani lagi karena lahan pertanian mereka yang hilang para pekerja di bidang pariwisata akan berkurang karena banyak warga travina yang mengungsi dan tempat-tempat tujuan wisatawan yang rusak,1
98,tantangannya ialah penduduk akan kehilangan hasil dari pertanian yang mereka hasilkan dari lahan yang mereka tinggalkan,0
99,pekerja akan menjadi hilang dan lahan pertanianakan berkurang,0
100,karena tidak semua tempat beriklim sama semua warga travina juga harus menyesuaikan diri terhadap lingkungan dan iklim saat mereka pindah ke tempat yang baru,1
101,"terpisah oleh komunitas nya,,,dan mencari tempat tinggal baru",1
102,untuk pindah ke daerah yang aman,1
103,satu tantangan yang akan dihadapi para pengungsi iklim saat pindah ke tempat baru yaitu penyesuaian/adaptasi dengan iklim tempat baru yang mereka tempati mungkin akan sangat berbeda dengan yang ada di travina,1
104,mereka akan kehilangan lahan mereka yang telah mereka garap selama ini dan akan kehilangan harta benda,1
105,tempat mungkin kurang layak bagi mereka yang menjadi pengungsi iklim sehingga bisa menjadi buah tantangan,1
106,tidak memiliki tempat tinggal kehilangan lahan nya,1
107,akan susah untuk beradaptasi terhadap lingkungan dan juga terhadap iklim yang baru,1
108,akan ber sama dengan orang lain dan mengungsi demi keselamatan agar terhindar dari bencana iklim tersebut dan untuk waspada sebelum terjadi bencana iklim tersebut,1
109,mereka harus meninggalkan kebiasaan mereka saat masih di travina dan harus beradaptasi dengan lingkungan baru mereka,1
110,sulit menyesuaikan diri dengan keadaan alam di tempat tersebut,1
111,pasti akan sangat kesepian dan yang pasti belum terlalu adaptasi,1
112,tantangan yang di hadapi adalah saat mereka pindah ke tempat yang tinggi atau baru ia akan kehilangan lahan pertaniannya,1
113,tidak mendapat kehidupan yang layang karena tidak dapat pekerjaan yang tepat sesuai dengan keahlian yang dimilikinya,1
114,mereka akan mengalami kesulitan untuk mendapatkan kebutuhan sehari hari,1
115,tidak memiliki tempat tinggal,0
116,warga mungkin dibasa menjadi pengungsi iklim,0
117,akan memiliki tempat tinggal yang baru dan suasana yang baru,0
118,adaptasi dengan lingkungan sekitar,1
119,orang orang akan meninggalkan komunitas atau negaranya karena bencana lingkungan,0
120,mereka akan mendapatkan suasana yang berbeda,0
121,mereka akan sulit beradaptasi dan merasa tidak nyaman,1
122,mereka harus kembali beradaptasi dengan keadaan yang baru yang mungkin bisa tidak sesuai dengan keadaan di travina,1
123,pengungsi akan mengalami perubahan iklim dan juga harus bisa beradaptasi pada lingkungan baru,1
124,terpaksa meninggalkan komunitas atau negaranya,1
125,akan menjadi orr asing ketika pindah tempat,1
126,lnflwfil,0
127,"tantangannya yaitu dari segi makanan dan minuman,dan mereka juga harus bisa menyesuaikan diri dengan lingkungannya yang baru",1
128,"belum tentu tempat yang di gunakan untuk berpindah lebih aman dari tempat yang sebelumnya di tinggali mereka,bisa saja lebih berisiko dari tempat sebelumnya",1
129,beradaptasi dengan iklim baru dan lingkungan baru,1
130,tak terbiasa belum bisa beradaptasi,1
131,akan beradaptasi di tempat yang baru,1
132,harus dapat ber adap tali sama ling kung sekitar wilayah baru mereka pinda,1
133,akan kekurangan makanan dan keperluan lainnya akan kehilangan pekerjaan dan harus beradaptasi ulang di tempat yang baru,1
134,meninggalkan pertanian mereka yang sudah di garap selama ini,1
135,mereka harus bisa beradaptasi dengar lingkungan baru nyai,1
136,akan lama untuk beradaptasi,1
137,mereka kemungkinan akan kesulitan untuk beradaptasi mereka juga akan memerlukan pekerjaan baru untuk memenuhi kebutuhan mereka sehari-hari,1
138,perbedaan iklim dan penyesuaian lingkungan,1
139,yang di hadapinya ketika di pindahan di tempat baru adalah sulit menyesuaikan diri di tempat yang baru,1
140,mereka akan gugup akan hal yang baru,0
141,tantangan pengungsi iklim adalah orang orang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,1
142,mengenal lingkungan baru,1
143,tantangannya mereka akan lebih sulit lagi untuk beradaptasi di tempat yang beriklim bedah,1
144,negara-negara lain akan menginginkan dukungan yang sama untuk proyek-proyek mereka,0
145,terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,1
146,tantangannya adalah terbiasa dengan lingkungan baru,1
147,perekonomian yang menurun dan mereka harus membangun kehidupan yang baru untuk melanjutkan kehidupannya.,1
148,mereka akan kehilangan lahan pertanian mereka,1
149,akan mendapat suasana baru,0
150,jika mereka pindah ke tempat baru maka mereka harus beradaptasi lagi dari awal jika mereka pindah ke negara lain mereka harus mempelajari budaya dan bahasa yang berbeda dari yang mereka miliki dan juga ada kemungkinan mereka akan dibully oleh penduduk asli tempat tersebut dan akan terjadi lagi diskriminasi seperti saat dulu diskriminasi terhadap orang hitam dan orang putih,1
151,berhadapan dengan lingkungan dan budaya yang berbeda sehingga harus dapat beradaptasi dengan cepat dan baik belum tentu tempat baru tersebut akan ramah terhadap pengungsi iklim,1
152,beradaptasi dengan lingkungan,1
153,mereka akan meninggalkan lahan pertanian dan perikanan yang lama mereka kembangkan,1
154,"kekurangan makananan,kehilangan pekerjaan,belum terbiasa pada lingkungan baru",1
155,"banyak tantangan yang akan di lalu warga travina,bukan hanya satu,contohnya mereka akan kehilangan rumah,pertanian dan memulai hidup baru di negara pengungsian mereka mereka juga akan beradaptasi m mau-tidak mau harus mengikuti budaya dan keadaan di lingkungan baru mereka",1
156,mereka akan kehilangan segalanya,0
157,mendapat tempat tinggal yang belum tentu layak dan nyaman,1
158,mereka akan harus beradaptasi dengan lingkungan baru mereka yang mungkin situasi dan kondisinya tidak sama,1
159,tantanganakandihadapiparapengunsi,0
160,dapat dianggap sebagai imigran yang akan menambah jumlah kepadatan penduduk di suatu daerah,1
161,salah satu tantangan yang akan dihadapi adalah ketika mereka harus mulai terbiasa dengan kehidupan mereka di tempat yang baru selam itu mereka juga harus beradaptasi dengan lingkungan mereka yang baru yang tentunya lingkungan baru itu berbeda dengan tempat tinggal mereka yang dulu,1
162,bisa jadi mereka akan sulit bersosialisasi,1
163,pasti adanya penyakit yang tidak diinginkan oleh warga,0
164,"salahsatunya mereka sulit mendapatkan air,mencri ikan yang akan mereka makan sehari hari,sulit untuk mencari temsn mengobrol atau berbicara dan mereka sulit memahami lingkungan yang mereka tingal sekarang",1
165,sering terjadi masalah,0
166,tantangan yang akan dihadapi para pengungsi iklim yaitu sudahnya mencari makan atau aktivitas seperti yang mereka lakukan berhari hari dan hambatan atas kebutuhan yang mereka lukan.sesah untuk berinteraksi dengan orang orang baru,1
167,tantangan yang dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru yaitu tidak terjadinya makanan dan kebutuhan kebutuhan mereka saat di tempat pengungsian,1
168,mereka akan merasakan hal yang sangat berbeda sekali,1
169,lebih dikucilkan karena sebagai warga baru yang belum tentu tahu tata tertibnya,1
170,mungkin mereka belum mengenal tempat baru mereka dan haru beradaptasi kembali,1
171,perlu menyesuaikan diri kembali,1
172,"mencari tempat yang baru,perlu beradaptasi dengan lingkungan sekitar,perlu teman baru atau tetangga baru",1
173,satu tantangan yang mungkin dihadapi para pengungsi iklim ketika mereka pindah setempat baru adalah sudahnya beradaptasi dengan tempat yang baru yang pasti berbeda jauh dengan tempat tinggal mereka dulu begitu juga dengan pekerjaan mereka pasti susah dilakukan jika pekerjaan di tempat baru mereka tidak pernah mereka lakukan di tempat tinggal lama mereka,1
174,penduduk akan kehilangan lahan pertanian dan perkebunan yang mereka punya,1
175,perubahan lingkungan,1
176,perlu beradaptasi dengan iklim baru di tempat yang baru,1
177,pengungsi iklim akan menghadapi masalah yaitu merasa tidak nyaman karena berada di tempat yang baru dan tidak berada seperti di tempat tinggal nya sendiri,0
178,mereka perlu beradaptasi dengan lingkungan baru yang mereka tempati,1
179,hilangnya lahan pertanian atau berubah nya perekonomian,1
180,pengungsi iklim,0
181,kehilangan lingkungan kita akibat bencana .,0
182,kekurangan sumber daya,0
183,mereka akan kehilangan tempat tinggal pekerjaan sehingga ditempati baru mereka harus beradaptasi dengan lingkungan baru mereka,1
184,kehilangan lahan pertanian penyesuaian tubuh,0
185,mereka akan sulit untuk menyesuaikan dirinya di lingkungan baru,1
186,sulit mendapat tempat yang cocok untuk tinggal,1
187,adaptasi dengan lingkungan baru,1
188,mereka harus mencari pekerjaan baru dan harus membiasakan diri kembali di lingkungan yang baru,1
189,sulit bersosialisasi dengan keadaan iklim yang ada di tempat yang baru,1
190,mereka kehilangan mata pencaharian dan mereka juga kehilangan banyak barang serta mereka juga bakal sibuk untuk terus berpindah pindah seiring berjalannya perubahan iklim,1
191,mereka akan kehilangan lahan pertanian mereka,1
192,pasi pengungsi bahagia karena dapat tempat untuk mengungsi,0
193,sebagian dari mereka akan kehilangan pekerjaan dan akan sulit untuk beradaptasi,1
194,menurut sayap salah satu tantangan yang dihadapi oleh para pengungsi iklim adalah : 1 termakannya waktu untuk melakukan perpindahan dari satu tempat ke tempat lainnya 2 hilangnya mata pencaharian 3 dana negara mulai menipis 4 sumber daya alam di tempat yang dulu tidak bisa dimanfaatkan.,1
195,membiasakan dengan iklim yang baru,1
196,penduduk mengialkan perkebunan mereka ke daerah yang lebih tinggi untuk meng gusi,0
197,perlu beradaptasi,1
198,tantangan yang dihadapi adalah warga dipaksa untuk menjadi pengungsi iklim,0
199,"mereka bisa saja mengalami kesulitan dalam menyesuaikan diri dengan lingkungan yang baru,karena di setiap daerah atau negara hatinya mempunyai perbedaan baik dalam bahasa,budaya dan pergaulan,jadi sudah dipastikan bahwa pengungsi iklim juga akan mengalami hal tersebut",1
200,harus beradaptasi dengan lingkungan barunya juga akan kehilangan lahan pertanian mereka,1
201,mereka akan dikucilkan bila mereka pindah setempat yang baru dan mereka akan sulit mendapatkan pertolongan medis dan pendidikan karena mereka tidak tinggal di daerah mereka,1
202,tantangan terbesar para pengungsi iklim adalah beradaptasi dengan tempat barunya nanti,1
203,akan sulit berasap tali dengan lingkungan baru,1
204,mereka akan sulit mencari makanan dan sektor usaha mereka seperti pertanian akan hilang,1
205,proses adaptasi mereka dengan lingkungan baru akan susah,1
206,dia susah beradaptasi dengan iklim yang di tempat pengungsian karena dia tidak terbiasa dengan iklim seperti itu,1
207,pengungsi iklim adalah orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
208,berinteraksi dengan lingkungan dan kehilangan lahan pertanian dan rumahnya,1
209,keadaannya sangat berbeda,0
210,mereka harus memulai ulang kehidupan nyha ( mulai dari pekerjaan ataupun kalu ada sejarah tentang rumah itu sudah ditempati keluarga itu secara turun menurun,1
211,tempat tinggal yang terbatas makanan dan minuman yang tidak cukup dan konflik batin yang akan dialami para pengungsi iklim,1
212,dia akan merasa berbeda ketika dia tinggal ditempati yang lebih dingin namun kini tinggal ditempati yang lebih panas,1
213,kurangnya lahan yang bisa mereka kembangan seperti untuk lahan pertanian karena biasanya ketika mereka pindah ke tempat baru tempat tersebut sudah berpenghuni ataupun masih belum terurus,1
214,mereka harus beradaptasi pada lingkungan baru lagi mencari teman kerabat yang baru lagi serba baru lah pohonnya,1
215,berbuat baik terhadap masyarakat baru,0
216,kenaikan permukaan air laut,0
217,pertimbangan proyek,0
218,lahan pertanian mereka akan rusakkan rumah mereka akan rusak,1
219,mereka akan beradaptasi dengan lingkungan barunya juga mereka akan mengenal budaya lain,1
220,"warga akan menghadapi kehidupan yang berbeda dari yang sebelumnya baik itu tempat tinggalnya,kebudayaannya,ataupun kesehariaannya.",1
221,kehilangan mata pencahariannya dan harus beradaptasi kembali pada lingkungan sekitar,1
222,mereka akan terhindar dari bencana yang melanda tempat mereka dengan berpindah ke tempat yang lain,0
223,para pengungsi akan mendapatkan tantangan seperti sakit karena belum biasa dengan negara yang akan dia usikan karena setiap negara memiliki iklim yang berbeda-beda dan jenis asupan makanan yang berbeda-beda,1
224,mereka tidak nyaman dengan tempat barunya karena sudah terbiasa dengan tempat lama mereka,1
225,negara munggin menjari donasi hidup baru,0
226,mereka harus membiasakan diri mereka terhadap lingkungan baru mereka agar bisa seimbang dengan lingkungan yang mereka mengungsi itu.tetapi mereka juga harus bisa memberikan waktu untuk melihat negara mereka untuk memastikan bahwa negara mereka dalam kondisi baik,1
227,antanagn yang akan mereka hadapi mungkin lumayan banyak salah satunya adalah merak harus membiasakan diri terhadap lingkungan pergi dari negaranya sendiri dan mengungsi di negeri orang yang belum tentu kehidupan kedemang sumber kehidupan merak juga tinggalkan kemungkinan merak akan menganggur,1
228,karena keluarga travina mengungsi ke dataran rendah walau pun mengungsi akan kejadian bajir,0
229,mereka akan kehilangan sebagian besar lahan pertanian mereka travina akan mencari donasi secepatnya untuk diberikan warga yang sudah kehilangan sebagian besar lahan pertaniannya,1
230,ekonomi,1
231,pasti mereka merasa resa dan gelisa,1
232,mencari tempat tinggal baru,1
233,mereka akan mendapatkan bencana,0
234,tantangan yang akan dihadapi para pengungsi iklim ketika mereka pindah ke tempat baru adalah tidak terbiasa dengan keadaan tempat barunya itu,1
235,biar tenang dan aman,0
236,meskipun mereka pindah ke tempat yang baru tetapi mereka akan kehilangan sebagian besar lahan pertanian mereka,1
237,karena membahayakan namanya,0
238,jika nanti terjadi perubahan iklim gmna???,0
239,keadaan ini adalah pengecualian dan kehidupan orangorang travina sedang di pertaruhan,0
240,cara menyesuaikan diri di lingkungannya baru,1
241,bagaimana jika pengungsi berpindah dari travina dan akan terjadi lagi yang ia tinggalkan sekarang,0
242,warga mungkin dipaksa untuk menjadi pengungsi iklim,0
243,tantangan yang paling utama adalah beradaptasi,1
244,mereka tidak dapat beradaptasi terhadap lingkungan barunya sehingga mereka akan kesulitan di berbagai aspek,1
245,beradaptasi terhadap lingkungan yang baru,1
246,terpaksa,0
247,akan mendapatkan negara yang bagus dan aman,0
248,apa satu,0
249,beradaptasi,1
250,mereka mungkin akan susah untuk beradaptasi dengan lingkungan barunya dan merasa juga mungkin akan memikirkan tentang harta benda yang mereka miliki di lingkungan lamanya,1
251,pengungsi iklim adalah orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
252,meminta bertanggung jawab,0
253,bertempat tinggal dengan orang orang yang tidak mereka kenal,1
254,akan bertemu dengan orangorang baru dan mendapatkan pengalaman-pengalaman yang berbeda dari sebelumnya,1
255,susah beradaptasi,1
256,"pengungsi iklim akan pindah setempat baru,mungkin akan dapat menolong negara lainnya",1
257,"mereka akan memulai kehidupan baru,mereka pun akan meninggalkan tanah kelahiran mereka",1
258,"tidak nyaman,memikirkan tempat yang dulu ia tempati,sukar beradaptasi",1
259,harus menyesuaikan dengan lingkungan baru,1
260,tidak disukai oleh negara lain atau cuma menjadi beban kepada negara yang diungsikan,0
261,mereka akan kesusahan mencari pekerjaan karena mereka telah berpindah ke daerah lain yang bukan milik mereka,1
262,ia akan kehilangan lahan pertanian dan akan beradaptasi demam lingkungan barunyabisa jadi juga pengungsi tidak di terima oleh beberapa penduduk,1
263,mereka harus belajar beradaptasi pada lingkungan yang baru,1
264,salah satu tantangan yang akan dihadapi para pengungsi iklim adalah sulit untuk berbaur dan mencari pekerjaan baru demi melakukan kelangsungan hidup di tempat baru,1
265,mereka akan menghadapi lingkungan lain yang mungkin akan memerlukan waktu yang lama untuk beradaptasi,1
266,mereka akan berbaur dengan orangorang baru berusaha untuk menerima budaya baru mencari kemampuan untuk pekerjaan yang berbeda,1
267,mencari tempat tinggal,1
268,hanya tuhan yang tahu apa tantangannya,0
269,mereka tidak akan dihormati oleh orang orang karena mereka dihormati di kediaman lama mereka,0
270,dapatkan bencana dan lawan,0
271,menyesuaikan,1
272,pengungsi iklim dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,0
273,karena mereka tidak ingin terpapar iklim yang sangat besar,0
274,situasi yang tidak memadai dan kurangnya fasilitas di kamp kamp pengungsi sehingga tidak dapat dilakukan seperti biasa makna mereka tidak bebas untuk melakukan sesuatu,1
275,fkjgrioejtjtjtdfljlkgr,0
276,akan ada perubahan di tempatnya,0
277,orang yang dipaksa meninggalkan komunitas atau negara mereka karena lelucon lingkungan,0
278,mereka akan meninggalkan negara mereka dan mereka akan menjadi aspek yang membutuhkan bantuan dari negara lain mereka juga membutuhkan negara mana yang akan menjadi pengungsi,0
279,beberapa dari mereka akan kehilangan tanah dan keluarga mereka,1
280,dia sulit untuk beradaptasi,1
281,mereka harus dapat beradaptasi dengan lingkungan baru mereka,1
282,jika kami tidak bergerak kami akan mendapatkan bencana,0
283,doktor iklim adalah orang orang yang dipaksa meninggalkan komunikasi atau negara mereka karena mereka jatuh tempo,1
284,mereka akan bermasalah dalam menemukan pekerjaan menemukan bisnis dan orang lain,1
285,gerakan yang hilang,1
286,mereka merasakan sesuatu yang buruk karena mereka meninggalkan negara keluarga dan lainnya,1
287,peringatan,0
288,membuat lahan tanah kerja pertanian yang telah ditinggalkan di negara,1
289,pengungsi iklim akan kehilangan harta benda mereka tanah mereka karena jika mereka telah menetap di sana dan kesuksesan di sana mereka akan berjuang untuk merintis lagi dari awal,1
290,tantangannya adalah bahwa jika mereka pindah ke tempat baru mereka tidak akan terbiasa dengan daerah tempat mereka tinggal,1
291,yang pertama harus cuaca yang perlu beradaptasi dengan lingkungan,1
292,tahu orang baruasing yang akan beradaptasi sejak awal,1
293,mereka akan kekurangan makanan pakaian dan obatobatan mereka harus berbagi tempat dan bersedia menjadi sempitmereka akan benar benar kurang,1
294,mereka akan kehilangan tanah mereka yang telah mereka kerjakan sejauh ini dan akan kehilangan properti,1
295,tidak punya tempat tinggal kehilangan tanah,1
296,sulit disesuaikan dengan keadaan alami tempat itu,1
297,mereka harus kembali ke situasi baru yang mungkin tidak sesuai dengan keselamatan di travina,1
298,lnflwfil,0
299,harus dapat beradaptasi dengan ling kung di sekitar area baru mereka pinda,1
300,meninggalkan pertanian mereka yang telah dikerjakan sejauh ini,1
301,apa yang dia hadapi ketika dia dipindahkan di tempat baru sulit disesuaikan di tempat baru,1
302,tantangannya digunakan untuk lingkungan baru,1
303,akan mendapatkan suasana baru,0
304,kurangnya makanan kehilangan pekerjaan tidak terbiasa dengan lingkungan baru,1
305,tantangan sampai akhir pemuliaan,0
306,lebih dikucilkan karena sebagai warga negara baru yang mungkin tidak perlu mengetahui aturannya,1
307,perlu menyesuaikan lagi,1
308,hilangnya lahan pertanian atau perubahan ekonomi,1
309,iklim punungi,0
310,kehilangan lahan pertanian yang menyesuaikan tubuh,0
311,sulit untuk mendapatkan tempat yang cocok untuk menginap,1
312,pengungsi pasi senang karena mereka dapat ditempatkan untuk dievakuasi,0
313,menurut pendapat saya salah satu tantangan yang dihadapi oleh pengungsi iklim adalah 1 waktu untuk waktu untuk berpindah dari satu tempat ke tempat lain2hilangnya mata pencaharian3dana negara mulai menipissumber daya alam di tempat yang dulu digunakan,1
314,biasakan iklim baru,1
315,mereka harus memulai kembali kehidupan nyha mulai dari pekerjaan atau jika ada sejarah tentang rumah yang telah ditempati oleh keluarga di bawah dan ke bawah,1
316,kurangnya tanah yang dapat mereka kembangkan seperti untuk lahan pertanian karena biasanya ketika mereka pindah ke tempat baru tempatnya telah dihuni atau masih tidak diabaikan,1
317,lakukan yang baik untuk masyarakat baru,0
318,warga akan menghadapi kehidupan yang berbeda dari sebelumnya apakah mereka hidup budaya mereka atau setiap hari,1
319,hilangnya mata pencaharian dan harus beradaptasi dengan lingkungan sekitarnya,1
320,bangsa munggin mencalonkan diri untuk sumbangan kehidupan baru,0
321,karena keluarga travina melarikan diri ke dataran rendah meskipun mengevakuasi peristiwa,0
322,tentunya mereka merasakan resa dan gelisa,1
323,karena itu membahayakan hidupnya,0
